key	data	_attribution
suara tolong kupas	sound/tolongkupas.m4a	
suara ya pak	sound/ggwave ya pak.mp3	
suara kamutanam	sound/kamutanam1.m4a	
suara semuakumpul	sound/semuakumpul.mp3	
suara dahpak	sound/dahpak.mp3	
suara tanamuntukapa	sound/tanamuntukapa.mp3	
suara ayunan	sound/ayunan.m4a	
suara ayunan1	sound/ayunan1.mp3	
suara dmc5	sound/stormapproacing.mp3	
suara ayun	https://cdn.freesound.org/previews/733/733890_6703998-lq.mp3	Whoosh 03 by velcronator -- https://freesound.org/s/733890/ -- License: Creative Commons 0
suara besi0	https://cdn.freesound.org/previews/699/699940_10996917-lq.mp3	Best_custom_sword_hit_w_ringouts_2.5_12262022.mp3 by Artninja -- https://freesound.org/s/699940/ -- License: Attribution 4.0
suara besi1	https://cdn.freesound.org/previews/406/406491_5923045-lq.mp3	hit - metallic - lawn chair 01.wav by Anthousai -- https://freesound.org/s/406491/ -- License: Creative Commons 0
suara jatuhlantai0	https://cdn.freesound.org/previews/82/82027_1178110-lq.mp3	Body Fall Over.wav by raubana -- https://freesound.org/s/82027/ -- License: Creative Commons 0
suara angin	https://cdn.freesound.org/previews/546/546759_9250976-lq.mp3	Ambiance_Wind_Trees_Leaves_Moderate_Loop_Stereo.wav by Nox_Sound -- https://freesound.org/s/546759/ -- License: Creative Commons 0
suara besi2	https://cdn.freesound.org/previews/111/111069_1602189-lq.mp3	SwordDraw.wav by Myuzishin -- https://freesound.org/s/111069/ -- License: Attribution NonCommercial 3.0
suara besi3	https://cdn.freesound.org/previews/320/320521_2906614-lq.mp3	Unsheathed blade by deleted_user_2906614 -- https://freesound.org/s/320521/ -- License: Creative Commons 0
suara omaewa	https://tiengdong.com/wp-content/uploads/Hieu-ung-am-thanh-na-ni-www_tiengdong_com.mp3	
suara teleport	https://us-tuna-sounds-files.voicemod.net/76e12ea3-aa31-4371-8c4d-63b36a8e7019-1673947056073.mp3	
suara vergil	https://us-tuna-sounds-files.voicemod.net/66cd1f2b-df0f-4d47-9e6d-71a8af75200c-1645273466827.mp3	
suara retak	https://cdn.pixabay.com/audio/2025/08/07/audio_a31d7b40b1.mp3	https://pixabay.com/sound-effects/glass-breaking-386153/
suara glitch	https://cdn.freesound.org/previews/403/403132_3577171-lq.mp3	Weird HiFreq Digital BitCrushed Sound by gerainsan -- https://freesound.org/s/403132/ -- License: Creative Commons 0
